ID,Run,Date,Time (ThinkPad DS) [UTC],Time (Wave Tank Computer) [UTC],Focus Point (x) [m],Hs,Preak Period [s],Freq (max) [Hz],Freq (Min) [Hz],Notes
101,1,2025-10-29,11:22:00,11:19:18,11.00,0.05,2,1.8,0.1,"No Wave Gage Measurement, Gain to high, For all in run 1 wrong wave gauge"
102,1,2025-10-29,11:25:00,11:22:18,11.00,0.05,2,1.8,0.1,Gain to high
103,1,2025-10-29,11:27:00,11:24:18,11.00,0.05,2,1.8,0.1,"No Wave Gage Measurement, Gain to high"
104,1,2025-10-29,11:30:00,11:27:18,11.00,0.05,2,1.8,0.1,Gain to high
105,2,2025-10-29,11:45:00,11:42:18,11.00,0.05,2,1.8,0.1,
106,2,2025-10-29,12:45:00,12:42:18,11.00,0.06,2,1.8,0.1,"Error in Time, and settings"
107,2,2025-10-29,12:50:00,12:47:18,11.00,0.06,2,1.8,0.1,
108,2,2025-10-29,12:58:30,12:55:48,11.00,0.06,2,1.8,0.1,
109,2,2025-10-29,13:00:00,12:57:18,11.00,0.06,2,1.8,0.1,"B in water, all in breaker, For this run Braker moved in front of hydro"
110,3,2025-10-29,13:23:20,13:20:38,11.00,0.07,2,1.8,0.1,"B in water, no in breaker start"
111,3,2025-10-29,13:30:59,13:28:17,11.00,0.07,2,1.8,0.1,"B in water, 73 in wave"
112,3,2025-10-29,13:34:00,13:31:18,11.00,0.07,2,1.8,0.1,"B in water, no in breaker start"
113,4,2025-10-29,13:50:10,13:47:28,11.00,0.08,2,1.8,0.1,"New Run, No Wave Gauge measurement"
114,4,2025-10-29,13:55:10,13:52:28,11.00,0.08,2,1.8,0.1,"No, Arm"
115,4,2025-10-29,14:01:10,13:58:28,11.00,0.08,2,1.8,0.1,"With Buoy, 73 in Breaker start"
116,5,2025-10-29,14:14:10,14:11:28,10.00,0.09,2,1.8,0.1,"Changed Focus Point from 11m to 10m, no Arm"
117,5,2025-10-29,14:18:36,14:15:54,11.00,0.09,2,1.8,0.1,"Wave broke prematurely, change focus point back to 11m"
118,5,2025-10-29,14:24:15,14:21:33,11.00,0.09,1.5,1.8,0.1,Chane in PP
119,5,2025-10-29,14:26:50,14:24:08,11.00,0.09,2.5,1.8,0.1,Chane in PP
120,5,2025-10-29,14:32:30,14:29:48,15.00,0.09,2.5,1.8,0.1,"Change in Focus Point, try run to see what happens: Result wave was broke twice, main behind hydro"
121,6,2025-10-29,14:42:20,14:39:38,11.00,0.1,2,1.8,0.1,
122,14,2025-10-30,13:14:05,13:11:23,11.00,0.04,2,1.8,0.01,"New Day!!!, Now Always with new Hydrophone from Atle, No breake"
123,14,2025-10-30,13:18:00,13:15:18,11.00,0.05,2,1.8,0.01,
124,14,2025-10-30,13:25:10,13:22:28,11.00,0.05,2,1.8,0.01,SFY: no in breaker
125,14,2025-10-30,13:27:10,13:24:28,11.00,0.05,2,1.8,0.01,"SFY: non in breaker, breaker is not over full length"
126,14,2025-10-30,13:31:15,13:28:33,11.00,0.05,2,1.8,0.01,SFY: 68 in breaker
127,15,2025-10-30,13:40:25,13:37:43,11.00,0.06,2,1.8,0.01,"SFY: 68, 72 in breaker"
128,15,2025-10-30,13:43:30,13:40:48,11.00,0.06,2,1.8,0.01,"SFY: 68, 72 in breaker"
129,15,2025-10-30,13:46:45,13:44:03,11.00,0.06,2,1.8,0.01,"SFY: 68, 72 kinda in breaker"
130,16,2025-10-30,13:49:55,13:47:13,11.00,0.07,2,1.8,0.01,SFY: All in Breaker
131,16,2025-10-30,13:54:05,13:51:23,11.00,0.07,2,1.8,0.01,"SFY: all are in breaker, slow motion video, "
132,16,2025-10-30,13:58:20,13:55:38,11.00,0.07,2,1.8,0.01,SFY: non in real breaker just a in tail
133,17,2025-10-30,14:30:40,14:27:58,11.00,0.08,2,1.8,0.01,"No more UIO Hydrophone, SFY: 68 was in breaker"
134,17,2025-10-30,14:32:50,14:30:08,11.00,0.08,2,1.8,0.01,"SFY, only 68 is positiond, 68 was in breaker"
135,17,2025-10-30,14:34:50,14:32:08,11.00,0.08,2,1.8,0.01,"SFY, only 68 is positiond, 68 was in breaker"
136,17,2025-10-30,14:43:10,14:40:28,11.00,0.08,2,1.8,0.01,SFY: all in breaker or trail
137,18,2025-10-30,14:54:25,14:51:43,10.00,0.09,2,1.8,0.01,"Change in Focus pint to 10m due to clipping: SFY: 72 ad 73 in breaker, 68 in tail ,"
138,18,2025-10-30,14:57:45,14:55:03,10.00,0.09,2,1.8,0.01,"SFY,, only 72 nd 68 in pos:"
139,18,2025-10-30,15:01:25,14:58:43,10.00,0.09,2,1.8,0.01,SFY 68 in breaker
